year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2012,Lexus,ES 350,Base,UNKNOWN,Pennsylvania,26483.0,black,brown,meridian remarketing,23300.0
2012,Honda,Civic,EX,automatic,Pennsylvania,29050.0,burgundy,tan,ahfc/honda lease trust/hvt  inc. eot,12700.0
2013,Dodge,Dart,Limited,manual,Pennsylvania,10535.0,red,black,austintown chrysler dodge jeep inc,13900.0
2013,Hyundai,Sonata,Limited,UNKNOWN,Pennsylvania,32960.0,silver,gray,hyundai motor finance,14500.0
2013,Audi,S5,Prestige quattro,manual,Pennsylvania,39275.0,black,black,daniel thomas sales,39200.0
2013,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,43662.0,beige,beige,r hollenshead auto sales inc,32000.0
2012,Honda,Accord,EX-L,automatic,Pennsylvania,40278.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,13000.0
2007,Ford,Edge,SEL Plus,UNKNOWN,Pennsylvania,78896.0,silver,black,hillside honda,11400.0
2012,Nissan,Altima,2.5 S,UNKNOWN,Pennsylvania,34341.0,gray,gray,nissan-infiniti lt,15300.0
2012,Volkswagen,Golf,2.5L PZEV,UNKNOWN,Pennsylvania,54623.0,gray,black,the hertz corporation,9300.0
2012,Chevrolet,Avalanche,LT,UNKNOWN,Pennsylvania,33694.0,blue,black,tdaf remarketing,28800.0
1999,Mercury,Cougar,V6,automatic,Pennsylvania,142028.0,red,gray,hertz remarketing,600.0
2005,Lincoln,Town Car,Signature,automatic,Pennsylvania,67439.0,beige,tan,crossroad motors llc,8100.0
2010,Hyundai,Santa Fe,GLS,UNKNOWN,Pennsylvania,86208.0,white,gray,alans autos,10000.0
2012,Honda,Odyssey,EX-L,automatic,Pennsylvania,26338.0,silver,green,ahfc/honda lease trust/hvt  inc. eot,23400.0
2014,Jeep,Grand Cherokee,Limited,UNKNOWN,Pennsylvania,28588.0,silver,black,enterprise veh exchange/rental,32000.0
2008,Cadillac,DTS,Base,automatic,Pennsylvania,80918.0,black,beige,adcock brothers inc,9800.0
2012,Land Rover,Range Rover Evoque,Pure Plus,automatic,Pennsylvania,14632.0,red,black,r hollenshead auto sales inc,38000.0
2011,Hyundai,Tucson,GLS,UNKNOWN,Pennsylvania,30384.0,white,gray,charles & son auto sls inc,13600.0
2014,Ford,F-150,XLT,automatic,Pennsylvania,9749.0,white,gray,usautoland inc,27750.0
2012,Chrysler,Town and Country,Touring,automatic,Pennsylvania,36768.0,black,black,hann financial services,14600.0
2005,Ford,F-350 Super Duty,Lariat,automatic,Pennsylvania,47744.0,gray,gray,bridgewater vehicle sls inc,24250.0
2007,Pontiac,Grand Prix,GT,automatic,Pennsylvania,95607.0,black,black,joshua motor car co inc,5900.0
2013,Ford,Edge,Limited,UNKNOWN,Pennsylvania,36287.0,white,black,ford motor credit company llc,20000.0
2009,Infiniti,G37,x,UNKNOWN,Pennsylvania,46865.0,—,beige,r hollenshead auto sales inc,17000.0
2014,Ford,Fusion,Titanium,automatic,Pennsylvania,17319.0,white,gray,ars/enterprise,20300.0
2009,Chevrolet,Corvette,Base,manual,Pennsylvania,4863.0,red,black,kerbeck cadillac pontiac inc,36250.0
2006,Mercedes-Benz,E-Class,E350 4MATIC,UNKNOWN,Pennsylvania,80609.0,red,beige,r hollenshead auto sales inc,9500.0
2012,Ford,F-150,XLT,UNKNOWN,Pennsylvania,32396.0,black,gray,ford motor credit company llc,26600.0
2014,Ford,Fusion,SE,UNKNOWN,Pennsylvania,33161.0,red,beige,avis budget group,13400.0
2009,Honda,Accord,EX-L V-6,automatic,Pennsylvania,57594.0,gray,gray,congers auto sales inc,11900.0
2012,Hyundai,Veracruz,Limited,UNKNOWN,Pennsylvania,55454.0,black,brown,hyundai motor finance,18800.0
2013,Chevrolet,Silverado 1500,LT,automatic,Pennsylvania,26358.0,brown,black,gary miller chrysler jeep inc,30200.0
2007,Mercedes-Benz,R-Class,R350,UNKNOWN,Pennsylvania,111997.0,silver,black,adcock brothers inc,9400.0
2012,Jeep,Grand Cherokee,Laredo,UNKNOWN,Pennsylvania,45675.0,black,black,fiserv/usb dealer services northstar exchange,20800.0
2003,Ford,Taurus,SEL Premium,automatic,Pennsylvania,88801.0,gray,beige,manheim philadelphia,1550.0
2013,Ford,Fiesta,SE,automatic,Pennsylvania,22954.0,blue,black,fiserv/crescent ida,7200.0
2013,Chevrolet,Equinox,LT,UNKNOWN,Pennsylvania,32518.0,gray,black,shores auto sales inc,18000.0
2012,Honda,Accord,SE,automatic,Pennsylvania,16296.0,silver,black,ahfc/honda lease trust/hvt  inc. eot,14000.0
2006,Dodge,Dakota,SLT,automatic,Pennsylvania,97345.0,yellow,gray,brookside motors inc,9700.0
2001,Mercedes-Benz,M-Class,ML430,UNKNOWN,Pennsylvania,189820.0,black,black,criswell honda,1900.0
2012,Nissan,Altima,2.5 S,UNKNOWN,Pennsylvania,28517.0,—,black,nissan-infiniti lt,12600.0
2012,Honda,Accord,EX,automatic,Pennsylvania,32194.0,black,tan,ahfc/honda lease trust/hvt  inc. eot,13600.0
2007,Jeep,Wrangler,Unlimited Rubicon,automatic,Pennsylvania,93962.0,white,black,r hollenshead auto sales inc,19900.0
2012,Volkswagen,Jetta,SE PZEV,UNKNOWN,Pennsylvania,39567.0,white,black,luxury fleet serv inc,11800.0
2012,Acura,TSX,Base,UNKNOWN,Pennsylvania,16378.0,gray,black,ahfc/honda lease/trust/hvt  inc. eot acuras,17300.0
2009,BMW,3 Series,335i,UNKNOWN,Pennsylvania,58609.0,blue,tan,alans autos,19000.0
2012,Nissan,Rogue,S,UNKNOWN,Pennsylvania,32320.0,white,gray,nissan-infiniti lt,17200.0
2012,Honda,Pilot,EX-L,automatic,Pennsylvania,29977.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,24200.0
2014,Jeep,Patriot,Sport,UNKNOWN,Pennsylvania,39919.0,white,black,avis corporation,14000.0
2012,Nissan,Altima,2.5 S,UNKNOWN,Pennsylvania,19974.0,black,black,nissan-infiniti lt,11400.0
2012,Kia,Optima,EX,UNKNOWN,Pennsylvania,33828.0,silver,gray,kia motors finance,15300.0
2003,Ford,Taurus,SES,automatic,Pennsylvania,166941.0,gray,beige,credit acceptance corp/vrs/southfield,300.0
2011,Ford,Taurus,SEL,automatic,Pennsylvania,82953.0,burgundy,beige,leasing associates inc,10900.0
2012,Honda,Pilot,LX,automatic,Pennsylvania,40631.0,black,gray,best auto wholesale,19800.0
2012,Jeep,Liberty,Sport,automatic,Pennsylvania,27552.0,gray,black,hann financial services,19500.0
2011,Nissan,Rogue,S,UNKNOWN,Pennsylvania,36339.0,gray,blue,nissan-infiniti lt,13500.0
2014,Chevrolet,Equinox,LT,automatic,Pennsylvania,68835.0,gray,black,ari,16800.0
2013,Lexus,LX 570,Base,UNKNOWN,Pennsylvania,19916.0,white,beige,manheim imports,66000.0
2012,Hyundai,Sonata,Limited PZEV,automatic,Pennsylvania,45018.0,blue,gray,allstate remarketing service inc,14400.0
2014,Dodge,Grand Caravan,SXT,automatic,Pennsylvania,32686.0,gray,black,avis corporation,16800.0
2011,Ford,Ranger,SPORT,UNKNOWN,Pennsylvania,14150.0,gray,black,tdaf remarketing,13800.0
2012,Hyundai,Sonata,GLS,automatic,Pennsylvania,37096.0,black,gray,hyundai motor finance,11300.0
2002,Saturn,S-Series,SC2,automatic,Pennsylvania,114863.0,silver,black,1 cochran of monroeville,1500.0
2012,Jeep,Grand Cherokee,Overland,UNKNOWN,Pennsylvania,10086.0,gray,brown,safeway motor corp,28800.0
2014,Dodge,Grand Caravan,SXT,automatic,Pennsylvania,16991.0,beige,black,enterprise holdings/gdp,16400.0
2012,Cadillac,CTS Coupe,Base,UNKNOWN,Pennsylvania,36718.0,blue,black,gm financial leasing,21800.0
2013,Ford,E-Series Van,E-250,automatic,Pennsylvania,16471.0,white,gray,u-haul,20900.0
2011,Ford,F-150,STX,UNKNOWN,Pennsylvania,60762.0,red,gray,paul motor company,18500.0
2014,Dodge,Durango,Limited,automatic,Pennsylvania,28322.0,gray,black,pv holding inc/gdp,31200.0
2006,BMW,5 Series,530xi,UNKNOWN,Pennsylvania,108357.0,silver,black,low low miles llc,6400.0
2012,Toyota,Highlander,Limited,UNKNOWN,Pennsylvania,23945.0,burgundy,gray,congers auto sales inc,28800.0
2014,Chevrolet,Sonic,LT,manual,Pennsylvania,14671.0,red,black,gm financial,10400.0
2012,Chevrolet,Malibu,LS,UNKNOWN,Pennsylvania,23567.0,black,gray,gm financial leasing,10600.0
2000,Saturn,L-Series,LS1,automatic,Pennsylvania,181961.0,burgundy,beige,purple heart,400.0
2005,Chevrolet,Malibu,LS,automatic,Pennsylvania,136782.0,black,tan,nick mayer lincoln mercury inc,1500.0
2003,Dodge,Neon,SXT,automatic,Pennsylvania,140986.0,red,black,purple heart,300.0
2009,Ford,Edge,SEL,UNKNOWN,Pennsylvania,65004.0,white,black,adcock brothers inc,14200.0
2003,Jaguar,XJ-Series,XJ8,automatic,Pennsylvania,68240.0,blue,beige,purple heart,2700.0
2007,Pontiac,Torrent,Base,automatic,Pennsylvania,195070.0,burgundy,black,wayne auto sales inc,2900.0
2010,Ford,F-150,XLT,automatic,Pennsylvania,59994.0,red,beige,nil les auto sales inc,21200.0
2013,Hyundai,Sonata,GLS,UNKNOWN,Pennsylvania,40149.0,white,beige,hyundai motor finance,11700.0
2006,Kia,Sedona,EX,UNKNOWN,Pennsylvania,88145.0,beige,tan,mitchell associates,5000.0
2008,BMW,X3,3.0si,UNKNOWN,Pennsylvania,54383.0,white,black,hillside honda,14700.0
2013,GMC,Terrain,SLE-1,UNKNOWN,Pennsylvania,12339.0,silver,black,us bank,18800.0
2012,Volkswagen,Tiguan,SEL 4Motion,UNKNOWN,Pennsylvania,56362.0,white,beige,vw credit,14900.0
2014,Jeep,Wrangler,Unlimited Sport,UNKNOWN,Pennsylvania,12843.0,blue,black,enterprise veh exchange/rental,28200.0
2013,Chrysler,200,Touring,automatic,Pennsylvania,11592.0,white,beige,chrysler group llc,11600.0
2012,Honda,CR-V,LX,UNKNOWN,Pennsylvania,37170.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,16400.0
2013,Infiniti,G Sedan,G37x,UNKNOWN,Pennsylvania,20319.0,black,black,carplex holdings llc,22700.0
2012,Jeep,Wrangler,Unlimited Sport,UNKNOWN,Pennsylvania,46717.0,—,black,r hollenshead auto sales inc,27250.0
2005,Toyota,Camry,XLE,UNKNOWN,Pennsylvania,127758.0,red,beige,695 auto sales & service,5900.0
2014,Cadillac,XTS,Luxury,automatic,Pennsylvania,27515.0,black,black,gm remarketing,31250.0
2007,Cadillac,Escalade,Base,UNKNOWN,Pennsylvania,74935.0,white,black,bard whls,19800.0
2011,Ford,Expedition,XLT,automatic,Pennsylvania,34184.0,burgundy,beige,ford-lincoln dealer program,27000.0
2012,Honda,Civic,LX,automatic,Pennsylvania,17802.0,silver,gray,ahfc/honda lease trust/hvt  inc.,11200.0
2011,Toyota,Prius,Three,automatic,Pennsylvania,56219.0,white,gray,i g burton & co inc,14100.0
2003,Buick,LeSabre,Custom,automatic,Pennsylvania,107043.0,beige,tan,faulkner mazda,2400.0
2014,Hyundai,Sonata,SE,UNKNOWN,Pennsylvania,1893.0,blue,gray,hyundai motor finance,16800.0
2013,Mitsubishi,Lancer,SE,automatic,Pennsylvania,11917.0,white,black,mmca  inc,12200.0
2012,Nissan,Sentra,2.0 SR,UNKNOWN,Pennsylvania,22742.0,white,gray,nissan-infiniti lt,9400.0
2007,Chrysler,Town and Country,Touring,automatic,Pennsylvania,115860.0,red,gray,pauls autos inc/hanchick & lerch,4050.0
2012,Subaru,Impreza,2.0i Limited PZEV,UNKNOWN,Pennsylvania,47423.0,gray,black,r hollenshead auto sales inc,15500.0
2014,Nissan,Versa,1.6 SV,UNKNOWN,Pennsylvania,48764.0,gray,gray,the hertz corporation,8500.0
2010,Mercedes-Benz,GL-Class,GL450 4MATIC,UNKNOWN,Pennsylvania,77681.0,silver,black,adcock brothers inc,24500.0
2014,Jeep,Wrangler,Unlimited Rubicon,UNKNOWN,Pennsylvania,24402.0,silver,black,bmw of sterling,33800.0
2011,GMC,Terrain,SLE-1,automatic,Pennsylvania,87747.0,blue,black,enterprise car sales,12400.0
2012,Lincoln,MKZ,Base,UNKNOWN,Pennsylvania,31273.0,blue,beige,charles & son auto sls inc,15800.0
2006,Mercury,Mariner,Premier,automatic,Pennsylvania,139968.0,green,gray,bobby rahal motorcar company,3000.0
2014,Dodge,Grand Caravan,R/T,UNKNOWN,Pennsylvania,8656.0,black,black,enterprise holdings/gdp,19200.0
2009,Toyota,RAV4,Limited,automatic,Pennsylvania,120694.0,blue,gray,lenders assistance corporation,8800.0
2013,Kia,Optima,LX,UNKNOWN,Pennsylvania,62763.0,red,tan,dtg operations inc,11300.0
2015,Mazda,Mazda6,i Sport,UNKNOWN,Pennsylvania,35742.0,red,tan,avis corporation,14900.0
2010,Honda,Civic,LX,automatic,Pennsylvania,70136.0,black,gray,r hollenshead auto sales inc,7500.0
2013,Chevrolet,Malibu,LT,UNKNOWN,Pennsylvania,25032.0,silver,black,gm financial leasing,14600.0
2007,Nissan,Altima,2.5,automatic,Pennsylvania,117780.0,white,beige,carl h and ruth auto sales inc,5900.0
2012,Volkswagen,Jetta,Base,UNKNOWN,Pennsylvania,19448.0,—,gray,vw credit,9700.0
2013,Nissan,Sentra,SV,UNKNOWN,Pennsylvania,39279.0,black,black,avis corporation,10500.0
2012,Nissan,Altima,2.5 S,automatic,Pennsylvania,44821.0,white,tan,nissan-infiniti lt,13000.0
2011,Ford,Fusion,SEL,automatic,Pennsylvania,32673.0,black,—,kelemen carrs,11500.0
2007,Honda,CR-V,EX-L,automatic,Pennsylvania,50177.0,white,gray,ford-lincoln dealer program,14500.0
2012,Nissan,Maxima,3.5 S,UNKNOWN,Pennsylvania,45976.0,brown,beige,nissan-infiniti lt,14100.0
2011,Mazda,CX-9,Grand Touring,UNKNOWN,Pennsylvania,53933.0,gray,black,jpmorgan chase bank n.a.,15800.0
2008,Dodge,Ram Pickup 1500,SLT,UNKNOWN,Pennsylvania,55919.0,silver,gray,tdaf remarketing,15500.0
2010,GMC,Sierra 1500,SLE,UNKNOWN,Pennsylvania,123865.0,black,black,phillipsburg easton vehicle,12800.0
1995,Mercedes-Benz,E-Class,E320,automatic,Pennsylvania,48597.0,white,blue,r hollenshead auto sales inc,13600.0
2012,Hyundai,Genesis,5,automatic,Pennsylvania,19065.0,gray,black,wheels of fortune auto  inc,19500.0
2012,Ford,Edge,SEL,UNKNOWN,Pennsylvania,36622.0,white,gray,ford motor credit company llc,22100.0
2005,Mercury,Mariner,Premier,automatic,Pennsylvania,151534.0,silver,black,spitzer toyota scion,2000.0
2012,Acura,TL,Base,UNKNOWN,Pennsylvania,48516.0,black,black,ahfc/honda lease/trust/hvt  inc. eot acuras,16500.0
2004,Nissan,Frontier,Standard,automatic,Pennsylvania,123544.0,black,gray,r hollenshead auto sales inc,3400.0
2012,Honda,Civic,LX,automatic,Pennsylvania,45135.0,gray,beige,ahfc/honda lease trust/hvt  inc. eot,11400.0
2007,BMW,X5,4.8i,UNKNOWN,Pennsylvania,87376.0,gray,black,superior automotive sales i,14300.0
2013,Nissan,Altima,2.5,automatic,Pennsylvania,13672.0,white,black,nissan-infiniti lt,14800.0
2014,Jeep,Grand Cherokee,Laredo,automatic,Pennsylvania,7551.0,white,black,hertz corporation/gdp,28300.0
2013,Chevrolet,Cruze,1LT,UNKNOWN,Pennsylvania,32093.0,beige,black,gm financial,11200.0
2013,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,45574.0,black,brown,r hollenshead auto sales inc,28000.0
2004,Toyota,Land Cruiser,Base,automatic,Pennsylvania,196418.0,—,tan,r hollenshead auto sales inc,12800.0
2003,Mercedes-Benz,C-Class,C230,UNKNOWN,Pennsylvania,153898.0,gray,black,r hollenshead auto sales inc,2000.0
2002,Chevrolet,Silverado 1500,LS,automatic,Pennsylvania,183130.0,gray,gray,faulkner buick gmc,3150.0
2013,Toyota,FJ Cruiser,Base,automatic,Pennsylvania,31755.0,black,gray,peter stallone auto sales inc,27500.0
2010,Volvo,XC90,3.2,automatic,Pennsylvania,127910.0,black,gray,benchmark auto sales nj llc,8700.0
2012,Ford,Fusion,SE,automatic,Pennsylvania,22769.0,white,gray,ford motor credit company llc,11800.0
2010,ford,f150,4x4 cr lariat,automatic,Pennsylvania,23079.0,red,tan,adcock brothers inc,29200.0
2012,Nissan,Altima,2.5,UNKNOWN,Pennsylvania,15929.0,white,black,maritime motors of fairfield inc,13500.0
2012,Honda,Accord,EX-L V-6,automatic,Pennsylvania,15206.0,silver,black,ahfc/honda lease trust/hvt  inc. eot,16900.0
2009,Chevrolet,Traverse,LT1,UNKNOWN,Pennsylvania,111821.0,red,black,fiserv/security national automotive accept corp,6900.0
2005,Ford,Focus,ZX4 SE,manual,Pennsylvania,63208.0,silver,gray,faulkner toyota,2650.0
2012,Ford,Fusion,SE,automatic,Pennsylvania,26160.0,silver,black,ford motor credit company llc,12300.0
2011,Cadillac,Escalade,Platinum Edition,UNKNOWN,Pennsylvania,65379.0,white,brown,rjk auto brokers llc,36700.0
2012,Honda,Civic,LX,automatic,Pennsylvania,46449.0,gray,gray,ahfc/honda lease trust/hvt  inc.,9000.0
2013,Chevrolet,Silverado 1500,Work Truck,automatic,Pennsylvania,32715.0,white,gray,peter stallone auto sales inc,11200.0
2007,Lincoln,Navigator,Luxury,UNKNOWN,Pennsylvania,127964.0,—,beige,r hollenshead auto sales inc,11300.0
2009,Honda,CR-V,EX-L,automatic,Pennsylvania,32248.0,silver,black,gnm auto sales inc,15900.0
2014,Jeep,Patriot,Sport,automatic,Pennsylvania,10857.0,gray,black,pv holding inc/gdp,14100.0
2007,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Pennsylvania,91432.0,black,black,nallys automotive,4100.0
2013,Chevrolet,Malibu,LT,automatic,Pennsylvania,26144.0,silver,black,exceptional motorcars ltd,13000.0
2010,Infiniti,QX56,Base,automatic,Pennsylvania,94038.0,black,black,lenny genzale auto sales,21000.0
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,automatic,Pennsylvania,33561.0,silver,gray,avis budget group,18500.0
2008,Lincoln,MKX,Base,UNKNOWN,Pennsylvania,83682.0,white,black,car sense incorporated,11000.0
2009,Honda,Accord,EX,automatic,Pennsylvania,38715.0,red,tan,ahfc/honda lease trust/hvt  inc.,8600.0
2012,Land Rover,LR4,Base,UNKNOWN,Pennsylvania,42200.0,white,beige,adcock brothers inc,39000.0
2012,Ford,Escape,Limited,automatic,Pennsylvania,31011.0,white,black,ford motor credit company llc,16300.0
2010,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,46295.0,black,beige,lindsay lexus of alexandria,19000.0
2011,Honda,Odyssey,EX,automatic,Pennsylvania,67019.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,13900.0
2013,Chevrolet,Cruze,LS,UNKNOWN,Pennsylvania,20714.0,white,black,gm financial leasing,11000.0
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,UNKNOWN,Pennsylvania,46106.0,black,black,allcar leasing,34600.0
2009,Honda,Civic,EX-L,automatic,Pennsylvania,131133.0,beige,brown,preston honda,8300.0
2014,Dodge,Journey,SXT,automatic,Pennsylvania,6997.0,silver,black,advantage opco llc,19600.0
2007,Ford,F-150,FX4,UNKNOWN,Pennsylvania,82887.0,black,black,crossroad motors llc,16500.0
2011,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,47043.0,gold,tan,prestige lexus,22300.0
2012,Nissan,Altima,2.5 S,automatic,Pennsylvania,37613.0,blue,black,nissan-infiniti lt,10000.0
2012,Infiniti,G Sedan,G37x,UNKNOWN,Pennsylvania,40177.0,silver,black,nissan infiniti lt,19000.0
2012,Honda,Accord,EX-L,automatic,Pennsylvania,57748.0,gray,black,robert ss auto sales inc,13500.0
2014,Chrysler,Town and Country,Touring,UNKNOWN,Pennsylvania,24000.0,gray,black,enterprise holdings/gdp,19500.0
2007,Nissan,Pathfinder,LE,automatic,Pennsylvania,91477.0,black,beige,r hollenshead auto sales inc,10900.0
2014,Ford,F-150,SVT Raptor,automatic,Pennsylvania,2226.0,silver,black,rafferty subaru inc,50000.0
2014,Ford,Escape,SE,UNKNOWN,Pennsylvania,43443.0,gray,gray,avis corporation,17000.0
2013,Hyundai,Elantra,GLS,UNKNOWN,Pennsylvania,41734.0,white,tan,avis corporation,10700.0
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,UNKNOWN,Pennsylvania,57822.0,silver,gray,the hertz corporation,17100.0
2003,Chevrolet,Corvette,Z06,manual,Pennsylvania,57319.0,black,black,land rover sls & service of hoffman estates inc,18500.0
2011,Nissan,Maxima,3.5 SV,UNKNOWN,Pennsylvania,30745.0,red,black,nissan-infiniti lt,14800.0
2011,Lincoln,Navigator,L,UNKNOWN,Pennsylvania,129429.0,black,black,sports car leasing,19000.0
2013,Volkswagen,Passat,SE PZEV,UNKNOWN,Pennsylvania,63755.0,red,black,the hertz corporation,11000.0
2013,Audi,Q7,3.0T Premium Plus quattro,UNKNOWN,Pennsylvania,44574.0,gray,black,924 auto corp,35300.0
2007,Dodge,Caliber,SXT,automatic,Pennsylvania,75124.0,white,gray,bergeys chrysler jeep dodge,5600.0
2013,Scion,tC,Base,UNKNOWN,Pennsylvania,20689.0,red,black,world omni financial corporation,15400.0
2012,Acura,TL,Base,automatic,Pennsylvania,29209.0,black,black,ahfc/honda lease/trust/hvt  inc. eot acuras,17500.0
2015,Volkswagen,Passat,Wolfsburg Edition PZEV,UNKNOWN,Pennsylvania,26320.0,gray,black,enterprise-tra,12500.0
2012,Nissan,Maxima,3.5 S,automatic,Pennsylvania,44299.0,gray,black,meridian remarketing,12500.0
2012,Nissan,Versa,1.6 S,UNKNOWN,Pennsylvania,83591.0,white,gray,nissan motor acceptance corporation,5800.0
